|CustomerID|LastLoginDate|LoginFrequency|ServiceUsage
0|1|2023-10-21|34|Mobile App
1|2|2023-12-05|5|Website
2|3|2023-11-15|3|Website
3|4|2023-08-25|2|Website
4|5|2023-10-27|41|Website
5|6|2023-09-17|2|Website
6|7|2023-01-07|32|Mobile App
7|8|2023-04-22|17|Online Banking
8|9|2023-06-27|24|Website
9|10|2023-01-13|29|Online Banking
10|11|2023-01-22|30|Online Banking
11|12|2023-12-31|43|Website
12|13|2023-07-05|10|Mobile App
13|14|2023-01-10|26|Online Banking
14|15|2023-06-15|44|Online Banking
15|16|2023-03-15|41|Online Banking
16|17|2023-09-03|8|Online Banking
17|18|2023-11-24|37|Website
18|19|2023-03-08|39|Online Banking
19|20|2023-08-15|16|Website
20|21|2023-06-16|18|Website
21|22|2023-05-06|42|Mobile App
22|23|2023-07-07|19|Mobile App
23|24|2023-10-04|12|Mobile App
24|25|2023-02-15|27|Mobile App
25|26|2023-09-29|45|Mobile App
26|27|2023-10-01|22|Mobile App
27|28|2023-10-26|42|Online Banking
28|29|2023-09-02|34|Website
29|30|2023-07-12|38|Website
30|31|2023-08-17|23|Online Banking
31|32|2023-01-06|48|Mobile App
32|33|2023-05-19|24|Mobile App
33|34|2023-04-03|44|Online Banking
34|35|2023-05-23|19|Mobile App
35|36|2023-02-11|6|Online Banking
36|37|2023-08-28|3|Online Banking
37|38|2023-11-27|47|Online Banking
38|39|2023-01-20|26|Online Banking
39|40|2023-10-14|20|Website
40|41|2023-07-04|38|Mobile App
41|42|2023-07-17|10|Mobile App
42|43|2023-05-25|25|Mobile App
43|44|2023-11-13|35|Mobile App
44|45|2023-09-02|49|Online Banking
45|46|2023-07-31|24|Online Banking
46|47|2023-04-19|21|Website
47|48|2023-06-12|34|Website
48|49|2023-02-19|18|Online Banking
49|50|2023-07-15|19|Online Banking
50|51|2023-10-31|3|Mobile App
51|52|2023-02-16|6|Mobile App
52|53|2023-10-02|20|Mobile App
53|54|2023-01-20|22|Online Banking
54|55|2023-08-18|33|Website
55|56|2023-08-20|14|Mobile App
56|57|2023-07-20|44|Online Banking
57|58|2023-04-17|9|Online Banking
58|59|2023-12-11|45|Online Banking
59|60|2023-03-02|25|Mobile App
60|61|2023-12-27|47|Website
61|62|2023-08-27|16|Mobile App
62|63|2023-05-26|7|Mobile App
63|64|2023-06-03|11|Online Banking
64|65|2023-09-25|27|Mobile App
65|66|2023-08-17|40|Online Banking
66|67|2023-07-23|17|Online Banking
67|68|2023-07-25|5|Website
68|69|2023-11-13|29|Mobile App
69|70|2023-03-15|10|Mobile App
70|71|2023-08-17|47|Online Banking
71|72|2023-04-25|25|Online Banking
72|73|2023-10-27|24|Online Banking
73|74|2023-02-19|44|Mobile App
74|75|2023-06-17|12|Mobile App
75|76|2023-05-09|5|Website
76|77|2023-10-15|29|Online Banking
77|78|2023-10-07|35|Mobile App
78|79|2023-04-20|23|Online Banking
79|80|2023-06-09|32|Mobile App
80|81|2023-12-03|40|Website
81|82|2023-05-08|19|Mobile App
82|83|2023-12-31|25|Mobile App
83|84|2023-11-30|45|Online Banking
84|85|2023-08-08|37|Mobile App
85|86|2023-10-18|1|Website
86|87|2023-11-22|43|Website
87|88|2023-02-08|13|Online Banking
88|89|2023-09-06|12|Mobile App
89|90|2023-05-30|47|Online Banking
90|91|2023-02-03|43|Mobile App
91|92|2023-07-01|37|Mobile App
92|93|2023-10-16|42|Mobile App
93|94|2023-06-27|41|Website
94|95|2023-06-20|12|Online Banking
95|96|2023-02-27|36|Mobile App
96|97|2023-12-20|38|Website
97|98|2023-05-23|9|Mobile App
98|99|2023-02-10|14|Online Banking
99|100|2023-06-02|45|Online Banking
100|101|2023-01-15|35|Online Banking
101|102|2023-01-14|32|Online Banking
102|103|2023-04-27|46|Mobile App
103|104|2023-03-23|3|Online Banking
104|105|2023-12-24|30|Website
105|106|2023-07-20|49|Mobile App
106|107|2023-01-27|7|Online Banking
107|108|2023-03-24|1|Mobile App
108|109|2023-04-28|20|Mobile App
109|110|2023-10-10|25|Website
110|111|2023-06-17|33|Website
111|112|2023-10-16|35|Website
112|113|2023-04-12|44|Online Banking
113|114|2023-08-02|24|Website
114|115|2023-09-21|14|Mobile App
115|116|2023-08-20|39|Mobile App
116|117|2023-12-25|44|Online Banking
117|118|2023-10-01|34|Online Banking
118|119|2023-03-29|18|Mobile App
119|120|2023-02-23|2|Online Banking
120|121|2023-09-09|38|Mobile App
121|122|2023-06-14|17|Mobile App
122|123|2023-03-15|23|Mobile App
123|124|2023-02-19|33|Website
124|125|2023-06-21|28|Online Banking
125|126|2023-05-14|15|Website
126|127|2023-01-18|11|Website
127|128|2023-07-07|23|Website
128|129|2023-03-21|13|Website
129|130|2023-02-25|47|Mobile App
130|131|2023-09-24|11|Website
131|132|2023-06-15|36|Website
132|133|2023-04-13|38|Mobile App
133|134|2023-01-05|27|Mobile App
134|135|2023-06-19|18|Mobile App
135|136|2023-11-07|40|Mobile App
136|137|2023-06-19|38|Online Banking
137|138|2023-03-20|34|Online Banking
138|139|2023-06-03|22|Website
139|140|2023-10-21|18|Mobile App
140|141|2023-06-28|41|Online Banking
141|142|2023-04-27|18|Mobile App
142|143|2023-12-25|13|Website
143|144|2023-02-18|39|Online Banking
144|145|2023-10-11|16|Online Banking
