|CustomerID|TransactionID|TransactionDate|AmountSpent|ProductCategory
0|1|7194|2022-03-27|416.5|Electronics
1|2|7250|2022-08-08|54.96|Clothing
2|2|9660|2022-07-25|197.5|Electronics
3|2|2998|2022-01-25|101.31|Furniture
4|2|1228|2022-07-24|397.37|Clothing
5|2|8903|2022-01-09|285.21|Electronics
6|2|3527|2022-09-16|311.34|Electronics
7|2|9279|2022-11-19|199.73|Groceries
8|3|9839|2022-10-08|241.06|Books
9|3|7364|2022-08-15|51.07|Clothing
10|3|4967|2022-09-17|419.95|Furniture
11|3|1646|2022-07-09|287.72|Groceries
12|3|7806|2022-03-02|299.86|Groceries
13|3|7329|2022-02-11|403.32|Furniture
14|4|3394|2022-07-31|125.64|Electronics
15|4|1211|2022-12-01|123.59|Groceries
16|4|4235|2022-12-22|241.45|Electronics
17|4|3419|2022-12-27|44.22|Clothing
18|4|7670|2022-05-22|382.39|Furniture
19|5|1742|2022-02-21|475.69|Groceries
20|5|9349|2022-08-12|178.91|Furniture
21|5|7200|2022-12-02|373.51|Groceries
22|5|4938|2022-10-21|155.76|Electronics
23|5|5357|2022-07-04|308.8|Electronics
24|5|6791|2022-08-31|219.98|Furniture
25|5|7592|2022-12-21|218.98|Electronics
26|5|9249|2022-05-25|69.86|Groceries
27|6|6635|2022-08-11|365.57|Books
28|6|3772|2022-10-29|448.86|Clothing
29|6|6237|2022-08-09|41.7|Furniture
30|6|8661|2022-07-03|104.0|Furniture
31|6|9155|2022-10-18|204.16|Electronics
32|7|8762|2022-10-24|86.73|Books
33|8|4215|2022-10-25|263.24|Books
34|8|2500|2022-11-09|483.91|Clothing
35|8|1383|2022-07-06|240.92|Books
36|8|6171|2022-06-10|346.24|Clothing
37|8|1807|2022-07-13|253.68|Furniture
38|8|5759|2022-09-26|161.56|Electronics
39|8|9841|2022-03-10|297.33|Furniture
40|9|7332|2022-06-02|96.67|Electronics
41|9|4938|2022-06-11|472.21|Clothing
42|9|9647|2022-01-13|44.26|Groceries
43|9|9438|2022-10-19|378.14|Groceries
44|9|4713|2022-05-26|325.96|Clothing
45|10|3487|2022-09-07|5.86|Furniture
46|10|7614|2022-10-31|35.29|Clothing
47|10|5052|2022-08-02|303.4|Groceries
48|10|4074|2022-09-08|223.85|Furniture
49|10|7393|2022-01-19|471.18|Furniture
50|10|5096|2022-06-05|179.0|Groceries
51|10|9067|2022-09-10|178.78|Electronics
52|11|6848|2022-06-06|334.62|Books
53|11|2486|2022-03-01|462.0|Groceries
54|11|5349|2022-09-22|163.78|Books
55|11|8270|2022-12-14|426.06|Books
56|11|9437|2022-10-03|347.37|Groceries
57|12|6450|2022-11-02|87.1|Electronics
58|13|1990|2022-09-27|173.13|Electronics
59|13|2005|2022-07-23|54.17|Clothing
60|13|4677|2022-08-10|164.72|Books
61|14|2745|2022-06-17|442.99|Furniture
62|14|9980|2022-04-17|412.2|Furniture
63|14|2396|2022-05-16|186.37|Groceries
64|14|6272|2022-11-08|150.22|Books
65|14|8718|2022-06-05|478.59|Groceries
66|14|7776|2022-10-16|335.44|Clothing
67|14|6836|2022-01-17|468.35|Furniture
68|14|6340|2022-02-21|213.22|Groceries
69|14|1721|2022-06-03|156.21|Groceries
70|15|3145|2022-03-28|283.39|Books
71|15|2620|2022-11-11|383.9|Electronics
72|15|6146|2022-04-15|160.79|Books
73|15|2253|2022-01-20|273.54|Furniture
74|15|1293|2022-05-20|68.63|Groceries
75|15|5338|2022-01-26|406.29|Groceries
76|15|4936|2022-08-16|151.88|Furniture
77|15|3147|2022-12-16|185.6|Clothing
78|16|9620|2022-11-25|52.67|Books
79|16|5751|2022-07-23|352.99|Books
80|16|3844|2022-11-22|250.51|Furniture
81|16|6371|2022-11-14|154.7|Books
82|16|4438|2022-08-09|470.53|Clothing
83|16|6637|2022-08-07|97.06|Electronics
84|16|6615|2022-12-14|159.18|Furniture
85|16|7531|2022-09-01|147.82|Furniture
86|16|1141|2022-11-13|334.33|Books
87|17|1301|2022-06-03|67.2|Groceries
88|17|7359|2022-09-29|92.54|Electronics
89|17|2767|2022-07-19|344.04|Electronics
90|17|3589|2022-07-23|431.79|Books
91|17|9294|2022-11-24|121.62|Furniture
92|17|4397|2022-06-27|124.02|Clothing
93|17|4890|2022-07-01|444.06|Groceries
94|18|4769|2022-05-27|164.11|Groceries
95|18|1171|2022-08-30|97.23|Furniture
96|18|6170|2022-04-28|281.73|Books
97|18|1028|2022-02-08|154.09|Furniture
98|18|9033|2022-01-14|254.22|Books
99|19|3893|2022-10-14|382.15|Furniture
100|19|9830|2022-05-09|477.83|Furniture
101|19|5865|2022-07-18|19.8|Groceries
102|19|6290|2022-12-22|125.66|Furniture
103|19|8988|2022-12-21|11.82|Clothing
104|20|1490|2022-07-12|345.75|Groceries
105|20|2219|2022-12-17|191.96|Electronics
106|20|4307|2022-02-02|324.99|Clothing
107|20|8961|2022-11-26|488.22|Clothing
108|20|7435|2022-10-19|39.34|Groceries
109|20|4846|2022-09-14|485.84|Clothing
110|20|5167|2022-09-20|122.1|Groceries
111|20|9861|2022-04-14|315.55|Furniture
112|20|4640|2022-04-04|462.1|Books
113|21|2493|2022-02-16|97.31|Books
114|21|2596|2022-04-09|217.3|Groceries
115|21|8416|2022-03-01|64.35|Books
116|21|3714|2022-03-19|153.58|Books
117|21|3647|2022-08-02|380.48|Groceries
118|22|3133|2022-08-12|247.99|Furniture
119|22|6885|2022-10-07|463.48|Groceries
120|22|8646|2022-10-19|218.65|Clothing
121|22|6250|2022-05-30|89.96|Furniture
122|22|5095|2022-09-26|402.9|Books
123|22|5195|2022-02-01|159.75|Furniture
124|23|8983|2022-11-07|345.79|Groceries
125|23|4105|2022-04-10|457.01|Books
126|23|2838|2022-01-19|273.08|Groceries
127|23|1498|2022-02-11|414.86|Books
128|24|4322|2022-06-07|76.78|Clothing
129|24|5599|2022-12-12|128.8|Books
130|24|9658|2022-11-07|431.03|Furniture
131|24|7717|2022-02-11|485.5|Groceries
132|24|2676|2022-10-29|21.11|Clothing
133|25|5648|2022-09-14|330.41|Groceries
134|25|4092|2022-09-07|392.9|Books
135|25|7927|2022-10-07|41.46|Groceries
136|26|9145|2022-12-10|318.48|Books
137|26|1480|2022-12-28|45.91|Furniture
138|26|8843|2022-07-31|207.37|Clothing
139|27|4425|2022-05-12|288.66|Books
140|27|5786|2022-01-04|344.59|Furniture
141|27|4102|2022-05-18|390.78|Electronics
142|27|2276|2022-11-10|415.81|Electronics
143|27|1996|2022-07-23|191.92|Clothing
144|27|2452|2022-07-14|172.02|Groceries
145|27|6309|2022-02-11|348.97|Clothing
146|27|7397|2022-02-05|57.85|Groceries
147|28|5739|2022-12-18|56.85|Electronics
148|28|1702|2022-01-26|329.36|Books
149|28|2248|2022-07-15|467.92|Electronics
150|28|4690|2022-01-06|339.61|Furniture
151|28|2591|2022-09-07|325.01|Electronics
152|28|9559|2022-11-04|183.51|Electronics
153|29|2528|2022-08-13|438.71|Books
154|29|1801|2022-02-21|25.15|Clothing
155|29|9118|2022-09-24|389.21|Clothing
156|30|7047|2022-09-17|257.88|Books
157|30|1004|2022-05-13|448.78|Electronics
158|31|5083|2022-12-09|314.38|Clothing
159|31|6259|2022-01-13|101.96|Furniture
160|31|5812|2022-04-28|184.39|Clothing
161|31|2341|2022-03-19|194.45|Books
162|31|3715|2022-09-23|313.38|Books
163|32|1780|2022-08-28|460.5|Groceries
164|32|6698|2022-03-01|315.06|Electronics
165|32|5458|2022-08-10|111.98|Groceries
166|32|1813|2022-07-19|127.97|Books
167|32|5175|2022-10-04|210.01|Clothing
168|33|6680|2022-08-07|356.54|Clothing
169|33|3582|2022-11-07|332.46|Groceries
170|34|7444|2022-11-11|383.48|Clothing
171|34|1814|2022-12-17|242.66|Furniture
172|34|5245|2022-07-22|240.24|Clothing
173|34|5486|2022-07-09|111.43|Furniture
174|34|1249|2022-01-08|51.23|Electronics
175|34|5286|2022-07-14|269.06|Books
176|34|7568|2022-03-16|76.57|Clothing
177|34|6115|2022-12-22|298.83|Clothing
178|34|2905|2022-10-09|212.9|Electronics
179|35|5065|2022-09-08|135.67|Furniture
180|35|7320|2022-04-03|471.59|Books
181|35|2224|2022-05-04|172.58|Electronics
182|36|2345|2022-06-24|97.55|Electronics
183|36|4788|2022-06-18|72.0|Electronics
184|36|3207|2022-03-02|445.86|Groceries
185|36|6624|2022-07-05|54.72|Electronics
186|36|2130|2022-10-27|452.54|Books
187|36|7865|2022-04-04|198.88|Clothing
188|37|4507|2022-12-07|487.83|Clothing
189|37|5551|2022-08-15|489.73|Clothing
190|37|3700|2022-03-30|288.97|Clothing
191|37|2319|2022-10-29|426.1|Furniture
192|37|8228|2022-06-07|413.56|Furniture
193|37|3074|2022-03-10|269.85|Clothing
194|37|9774|2022-01-06|495.59|Books
195|37|9029|2022-05-14|95.14|Groceries
196|37|1282|2022-03-20|200.11|Furniture
197|38|5061|2022-11-12|431.43|Books
198|38|4129|2022-02-23|24.88|Groceries
199|38|7265|2022-12-05|418.55|Groceries
200|39|8293|2022-08-20|439.79|Electronics
201|39|6986|2022-12-11|12.77|Groceries
202|39|2459|2022-07-16|90.54|Electronics
203|39|9823|2022-04-06|332.93|Furniture
204|39|9211|2022-04-09|315.91|Furniture
205|40|4772|2022-03-07|312.32|Electronics
206|40|7452|2022-01-11|339.69|Furniture
207|40|1652|2022-06-03|100.36|Electronics
208|40|9361|2022-05-09|281.66|Groceries
209|40|8720|2022-08-02|310.6|Groceries
210|40|3695|2022-05-12|81.78|Furniture
211|40|3392|2022-06-27|151.94|Groceries
212|41|7124|2022-02-06|329.86|Furniture
213|41|7822|2022-02-15|33.36|Clothing
214|42|7464|2022-04-14|93.75|Books
215|42|1017|2022-10-21|110.57|Books
216|42|2905|2022-07-21|326.29|Groceries
217|43|9864|2022-04-28|218.4|Groceries
218|43|4783|2022-08-27|305.2|Clothing
219|43|3698|2022-11-02|380.34|Groceries
220|43|5968|2022-03-31|256.88|Clothing
221|43|2809|2022-09-10|325.4|Electronics
222|43|5710|2022-02-28|396.79|Books
223|43|8909|2022-07-16|330.62|Clothing
224|44|1793|2022-11-23|423.71|Groceries
225|44|5047|2022-07-02|227.58|Electronics
226|44|5924|2022-02-06|36.53|Groceries
227|45|8726|2022-12-23|300.42|Groceries
228|46|3638|2022-08-20|134.67|Electronics
229|47|5621|2022-04-18|283.35|Furniture
230|47|4552|2022-10-16|154.22|Furniture
231|47|4996|2022-11-09|180.48|Groceries
232|47|9120|2022-11-19|49.88|Electronics
233|47|3951|2022-10-05|303.45|Clothing
234|47|6295|2022-03-30|158.06|Books
235|47|2549|2022-04-02|336.93|Furniture
236|48|2465|2022-06-11|316.09|Books
237|48|8206|2022-07-29|118.52|Clothing
238|48|6434|2022-12-09|170.22|Electronics
239|48|4303|2022-06-04|429.87|Furniture
240|48|1873|2022-09-02|191.81|Groceries
241|48|6515|2022-07-18|72.34|Books
242|48|7394|2022-05-21|298.44|Electronics
243|49|7154|2022-06-07|223.89|Electronics
244|49|3258|2022-03-01|62.73|Books
245|49|8909|2022-03-19|354.86|Groceries
246|50|6635|2022-09-04|413.93|Groceries
247|50|8752|2022-01-09|469.96|Groceries
248|50|8877|2022-08-10|361.72|Clothing
249|50|8540|2022-12-09|269.01|Furniture
250|51|9784|2022-04-28|23.42|Books
251|51|1011|2022-03-24|476.36|Electronics
252|51|8612|2022-07-20|50.08|Furniture
253|52|1349|2022-02-17|401.25|Groceries
254|53|1434|2022-07-31|218.92|Furniture
255|53|1750|2022-12-08|420.01|Books
256|53|8039|2022-12-28|34.48|Groceries
257|53|1211|2022-11-04|195.81|Groceries
258|53|7387|2022-03-13|64.35|Groceries
259|53|3611|2022-08-12|252.85|Books
260|53|8097|2022-06-03|68.92|Clothing
261|54|9573|2022-06-13|178.11|Groceries
262|54|8217|2022-07-04|283.1|Books
263|55|3027|2022-09-06|101.59|Clothing
264|55|8034|2022-06-06|433.0|Furniture
265|55|6153|2022-04-08|125.76|Groceries
266|55|8547|2022-01-08|127.82|Clothing
267|55|6447|2022-03-29|341.18|Furniture
268|56|6705|2022-07-10|138.07|Groceries
269|56|4825|2022-07-06|365.65|Books
270|56|3353|2022-09-06|462.05|Electronics
271|56|6919|2022-05-17|255.32|Clothing
272|56|7099|2022-12-15|222.37|Books
273|57|8283|2022-11-28|295.23|Electronics
274|57|7872|2022-06-24|86.35|Books
275|57|5420|2022-02-21|216.17|Groceries
276|58|4559|2022-03-08|445.85|Clothing
277|58|3971|2022-10-26|356.52|Electronics
278|58|2674|2022-11-18|326.58|Clothing
279|58|7333|2022-04-15|314.01|Books
280|58|9411|2022-02-19|467.63|Clothing
281|58|7507|2022-04-06|305.23|Groceries
282|59|7509|2022-07-25|139.62|Electronics
283|59|5184|2022-10-29|51.58|Electronics
284|59|3568|2022-12-01|101.31|Furniture
285|60|4623|2022-06-02|10.61|Electronics
286|60|9447|2022-12-20|94.75|Clothing
287|60|9072|2022-04-22|457.37|Groceries
288|60|5994|2022-02-02|218.36|Books
289|61|3014|2022-01-22|252.72|Furniture
290|61|3245|2022-10-11|308.15|Electronics
291|61|2632|2022-02-10|118.1|Electronics
292|62|6408|2022-11-26|91.91|Books
293|62|4484|2022-01-04|116.15|Groceries
294|62|6109|2022-08-31|272.02|Clothing
295|62|7334|2022-09-22|359.92|Electronics
296|63|3072|2022-03-05|387.43|Groceries
297|63|8369|2022-12-13|68.98|Electronics
298|63|5454|2022-11-29|189.74|Books
299|63|4788|2022-12-09|436.58|Clothing
300|63|9969|2022-07-07|115.73|Furniture
301|63|1745|2022-03-05|328.22|Groceries
302|63|8181|2022-11-24|324.69|Furniture
303|63|9301|2022-03-19|229.33|Furniture
304|63|2273|2022-04-29|124.41|Furniture
305|64|1218|2022-12-18|286.35|Furniture
306|64|5225|2022-05-02|184.28|Electronics
307|64|7430|2022-08-25|494.58|Clothing
308|65|6000|2022-11-17|118.54|Groceries
309|65|5261|2022-10-06|195.94|Electronics
310|65|7059|2022-07-13|165.51|Groceries
311|65|7293|2022-07-17|417.53|Electronics
312|65|8589|2022-10-23|462.37|Furniture
313|66|8162|2022-06-26|209.63|Groceries
314|66|2692|2022-02-05|202.31|Clothing
315|66|2241|2022-12-03|78.23|Clothing
316|66|1111|2022-03-07|176.53|Books
317|66|4357|2022-09-04|165.81|Groceries
318|66|2487|2022-09-18|19.43|Groceries
319|66|2344|2022-01-18|407.13|Electronics
320|66|6394|2022-12-21|150.04|Electronics
321|67|7775|2022-02-05|84.61|Clothing
322|67|8724|2022-08-19|285.49|Clothing
323|67|3269|2022-11-09|30.24|Books
324|67|4434|2022-06-27|301.42|Clothing
325|68|2544|2022-07-20|57.28|Electronics
326|68|5352|2022-10-27|363.53|Groceries
327|68|8632|2022-11-06|237.01|Books
328|68|1741|2022-05-12|228.66|Clothing
329|69|9288|2022-06-06|191.33|Books
330|69|8998|2022-11-14|293.62|Furniture
331|69|3957|2022-12-04|421.42|Books
332|69|2522|2022-03-17|132.16|Clothing
333|70|7355|2022-12-13|404.42|Furniture
334|70|1106|2022-08-13|406.93|Electronics
335|70|9514|2022-08-29|363.4|Clothing
336|70|6930|2022-07-07|401.39|Furniture
337|70|9049|2022-01-04|284.85|Clothing
338|70|5403|2022-12-05|492.36|Books
339|70|4917|2022-01-14|100.63|Furniture
340|71|2164|2022-01-09|166.05|Groceries
341|71|2439|2022-10-27|172.53|Groceries
342|71|5506|2022-11-03|136.01|Clothing
343|72|7937|2022-01-19|331.07|Electronics
344|72|6014|2022-01-28|184.84|Clothing
345|72|9726|2022-11-22|388.6|Clothing
346|72|8066|2022-06-09|20.1|Clothing
347|72|8691|2022-07-05|40.85|Electronics
348|72|6899|2022-02-06|114.94|Groceries
349|73|5360|2022-11-16|236.95|Clothing
350|73|6865|2022-01-10|424.06|Groceries
351|73|9635|2022-02-09|160.7|Groceries
352|73|1560|2022-10-14|102.27|Electronics
353|73|5009|2022-04-21|451.24|Clothing
354|73|4276|2022-07-11|298.68|Clothing
355|73|3538|2022-06-29|137.62|Clothing
356|73|1013|2022-04-08|211.69|Electronics
357|73|7558|2022-05-12|231.01|Electronics
358|74|8719|2022-08-27|270.26|Furniture
359|74|1730|2022-08-08|236.75|Clothing
360|74|6545|2022-06-09|317.21|Electronics
361|74|5529|2022-06-14|412.42|Clothing
362|74|2232|2022-03-26|443.75|Groceries
363|74|2723|2022-08-24|136.43|Clothing
364|74|6886|2022-08-18|208.07|Furniture
365|74|1302|2022-05-11|58.9|Books
366|75|8849|2022-09-15|214.25|Furniture
367|75|1411|2022-09-07|57.03|Clothing
368|75|4288|2022-12-31|238.78|Electronics
369|75|8415|2022-08-23|259.91|Books
370|76|9129|2022-03-11|470.61|Books
371|76|2649|2022-05-17|54.93|Books
372|76|4440|2022-10-16|287.15|Clothing
373|76|4957|2022-12-07|71.23|Clothing
374|77|8499|2022-06-13|253.82|Furniture
375|77|8522|2022-04-08|226.68|Clothing
376|77|6683|2022-03-01|256.72|Clothing
377|77|5491|2022-08-26|460.67|Clothing
378|77|9158|2022-06-09|12.77|Furniture
379|77|4605|2022-06-04|229.06|Clothing
380|77|1835|2022-12-04|239.0|Books
381|77|1993|2022-01-11|118.34|Books
382|78|9390|2022-04-16|377.08|Groceries
383|78|3718|2022-03-01|78.58|Clothing
384|78|9567|2022-03-28|361.23|Groceries
385|79|4934|2022-01-07|23.87|Books
386|79|5764|2022-12-14|463.19|Books
387|79|7515|2022-11-24|444.26|Furniture
388|80|7387|2022-04-05|110.82|Furniture
389|81|9239|2022-01-24|145.39|Furniture
390|81|2160|2022-05-22|340.38|Books
391|81|1810|2022-02-21|142.09|Furniture
392|81|9629|2022-03-04|494.59|Clothing
393|81|9280|2022-04-19|337.72|Groceries
394|81|6774|2022-08-31|481.02|Clothing
395|81|3129|2022-07-27|97.01|Groceries
396|81|6516|2022-02-08|143.57|Books
397|82|9019|2022-02-01|232.38|Clothing
398|83|2867|2022-01-08|233.29|Books
399|83|1430|2022-02-02|42.55|Groceries
400|83|6213|2022-03-16|458.03|Clothing
401|83|3353|2022-01-20|116.25|Groceries
402|83|2522|2022-10-15|404.4|Electronics
403|83|3834|2022-01-16|165.4|Clothing
404|84|1774|2022-09-01|220.53|Furniture
405|84|5955|2022-01-27|351.3|Furniture
406|84|8856|2022-12-15|273.85|Clothing
407|84|5187|2022-06-10|477.4|Groceries
408|84|6546|2022-11-05|222.83|Books
409|85|9312|2022-08-18|105.33|Groceries
410|85|8125|2022-12-06|64.14|Books
411|85|7750|2022-04-07|309.33|Clothing
412|85|7661|2022-07-03|368.18|Furniture
413|85|4417|2022-08-08|131.06|Books
414|85|2680|2022-08-19|224.81|Groceries
415|85|9192|2022-07-31|164.36|Groceries
416|85|5718|2022-10-22|125.27|Clothing
417|85|1911|2022-03-16|197.6|Furniture
418|86|1892|2022-07-26|9.19|Groceries
419|86|5332|2022-04-28|452.17|Groceries
420|86|4287|2022-12-02|144.41|Electronics
421|86|5646|2022-11-17|391.62|Clothing
422|86|9334|2022-03-11|275.83|Clothing
423|86|1240|2022-07-31|293.81|Clothing
424|86|5481|2022-05-16|107.63|Groceries
425|87|8438|2022-07-26|280.78|Furniture
426|87|2000|2022-12-26|48.02|Books
427|87|7552|2022-10-22|472.13|Electronics
428|87|5427|2022-08-30|462.52|Clothing
429|87|7002|2022-10-13|148.39|Clothing
430|88|5650|2022-01-27|224.36|Clothing
431|88|9564|2022-08-13|222.98|Groceries
432|89|9593|2022-03-16|463.89|Electronics
433|89|3460|2022-09-13|55.81|Groceries
434|89|3245|2022-06-22|276.11|Electronics
435|89|8790|2022-07-24|177.45|Groceries
436|89|6529|2022-03-06|168.1|Electronics
437|89|4484|2022-10-12|480.04|Clothing
438|89|6504|2022-04-19|330.59|Furniture
439|90|7223|2022-12-30|137.12|Books
440|90|4609|2022-11-13|271.07|Clothing
441|90|7590|2022-06-18|266.03|Furniture
442|90|8836|2022-08-14|433.71|Clothing
443|90|6301|2022-01-08|115.5|Groceries
444|90|6483|2022-04-11|6.53|Books
445|91|3645|2022-04-26|32.66|Electronics
446|91|5571|2022-07-25|179.38|Books
